Provinsi;Tahun;Y;X1;X2;X3;X4;X5;X6;X7;X8;X9;X10;X11
KALIMANTAN BARAT;2021;5,82;37;68,45;60,87;47,34;6,08;6,84;67,9;42283;2399698;8;26,22
KALIMANTAN TENGAH;2021;4,53;18;68,67;55,5;37,55;5,67;5,16;71,25;62784;2903144;9,03;26,46
KALIMANTAN SELATAN;2021;4,95;106;69,26;59,63;31,87;9,15;4,56;71,28;47999;2877448;8,74;27,97
KALIMANTAN TIMUR;2021;6,83;30;65,49;46,49;20,84;6,59;6,27;76,88;182915;2981378;10,09;40,21
KALIMANTAN UTARA;2021;4,58;9;66,24;50,74;30,46;8,12;6,83;71,19;155081;3000804;9,4;25,23
SULAWESI UTARA;2021;7,06;190;62,15;60,7;25,08;10,38;7,36;73,3;54049;3310723;9,83;34,43
SULAWESI TENGAH;2021;3,75;49;68,73;67,32;41,28;6,64;12,18;69,79;81846;2303014;9,18;40,11
SULAWESI SELATAN;2021;5,72;196;64,73;63,24;37,43;8,47;8,53;72,24;59650;3165876;8,95;42,35
SULAWESI TENGGARA;2021;3,92;70;70,09;62,81;33,34;9,44;11,74;71,66;52447;2552014;9,52;44,77
GORONTALO;2021;3,01;105;65,94;62,39;30,04;8,86;15,41;69;37171;2788826;8,32;37,32
SULAWESI BARAT;2021;3,13;86;70,27;72,8;47,22;8,51;11,85;66,36;35192;2678863;8,39;30,15
MALUKU;2021;6,93;40;65,75;64,41;32,64;10,52;16,3;69,71;26115;2604961;10,25;48,36
MALUKU UTARA;2021;4,71;41;64,7;63,56;29,02;16,66;6,38;68,76;40396;2721530;9,51;43,63
PAPUA BARAT;2021;5,84;11;70,34;57,92;32,69;4,8;21,82;65,26;73544;3134600;10,03;35,8
PAPUA;2021;3,33;14;78,29;80,47;68,13;1,76;27,38;60,62;54067;3516700;7,05;20,04
ACEH;2022;6,17;95;63,5;61,45;40,5;7,32;14,75;72,8;39156;3166460;9,79;44,45
SUMATERA UTARA;2022;6,16;209;69,53;59,07;34,65;10,01;8,33;72,71;63194;2522609;9,99;30,94
SUMATERA BARAT;2022;6,28;134;69,3;65,26;34,96;8,58;6,04;73,26;50593;2512539;9,51;43,79
RIAU;2022;4,37;74;63,86;54,02;39,96;7,26;6,84;73,52;149914;2938564;9,54;35,29
JAMBI;2022;4,59;74;67,84;59,98;47,96;5,25;7,7;72,14;76096;2698940;9,07;30,08
SUMATERA SELATAN;2022;4,63;100;69,31;63,28;46,44;6,24;11,95;70,9;68338;3144446;8,82;26,31
BENGKULU;2022;3,59;102;69,81;67,54;48,16;5,13;14,34;72,16;43742;2238094;9,28;38,15
LAMPUNG;2022;4,52;273;70,06;71,51;43,62;9,34;11,44;70,45;45129;2440486;8,61;21,48
KEP. BANGKA BELITUNG;2022;4,77;90;67,38;49,63;25,05;6,87;4,61;72,24;63752;3264884;8,57;14,85
KEP. RIAU;2022;8,23;264;68,94;36,32;7,8;25,77;6,03;76,46;141683;3050172;10,46;27,47
DKI JAKARTA;2022;7,18;16158;63,08;36,88;0,52;10,26;4,61;81,65;298326;4641854;11,3;39,56
JAWA BARAT;2022;8,31;1334;66,15;54,61;15,29;19,29;7,98;73,12;49038;1841487;9,14;26,01
JAWA TENGAH;2022;5,57;1078;70,84;60,16;24,78;21,89;10,98;72,79;42150;1812935;8,38;23,95
DI YOGYAKARTA;2022;4,06;1186;72,6;53,38;17,94;17,28;11,49;80,64;44045;1840915;10,07;75,59
JAWA TIMUR;2022;5,49;857;71,23;63,86;31,31;14,9;10,49;72,75;66365;1891567;8,5;30,07
BANTEN;2022;8,09;1310;64,72;47,96;11,29;23,04;6,24;73,32;60990;2501203;9,46;32,67
BALI;2022;4,8;790;76,86;53,43;19,89;15,48;4,53;76,44;55545;2516971;9,74;38,46
NUSA TENGGARA BARAT;2022;2,89;278;70,93;75,36;34,57;10,11;13,82;69,46;28673;2207212;8,31;32,05
NUSA TENGGARA TIMUR;2022;3,54;118;75,23;75,24;49,36;11,43;20,23;65,9;21718;1975000;8,25;32,48
KALIMANTAN BARAT;2022;5,11;38;68,97;58,77;48,37;4,85;6,81;68,63;46161;2434328;8,1;26,59
KALIMANTAN TENGAH;2022;4,26;18;67,23;51,5;39,85;3,93;5,22;71,63;72945;2922516;9,03;25,84
KALIMANTAN SELATAN;2022;4,74;113;67,55;57,3;32,41;8,14;4,61;71,84;60079;2906473;8,89;27,5
KALIMANTAN TIMUR;2022;5,71;30;64,73;44,26;20;7,52;6,44;77,44;238701;3014497;10,13;40,62
KALIMANTAN UTARA;2022;4,33;10;67,62;49;33,37;7,55;6,86;71,83;190611;3016738;9,45;25,66
SULAWESI UTARA;2022;6,61;183;63,08;59,15;24,29;10,82;7,34;73,81;59043;3310723;9,87;34,36
SULAWESI TENGAH;2022;3;50;69,99;67,87;43,47;8,4;12,3;70,28;105545;2390739;9,17;39,48
SULAWESI SELATAN;2022;4,51;204;66,18;63,55;38,53;8,19;8,66;72,82;65593;3165876;9,09;42,63
SULAWESI TENGGARA;2022;3,36;75;68,82;62,39;32,82;8,95;11,27;72,23;58764;2576016;9,59;45,24
GORONTALO;2022;2,58;99;68,91;64,97;33,26;9,21;15,51;69,81;39887;2800580;8,39;36,94
SULAWESI BARAT;2022;2,34;88;73;77,25;50,24;7,41;11,92;66,92;37070;2678863;8,47;29,43
MALUKU;2022;6,88;41;65,46;63,3;33,54;10,75;16,23;70,22;28534;2619312;10,37;51,36
MALUKU UTARA;2022;3,98;40;64,88;65,63;28,5;19,84;6,37;69,47;53741;2862231;9,6;44,27
